Exercise_Name,muscle_gp,Equipment,Rating,Description
Rickshaw Carry,Forearms,Other,9.6,Average
Single-Leg Press,Quadriceps,Machine,9.6,Average
Landmine twist,Abdominals,Other,9.5,Average
Weighted pull-up,Lats,Other,9.5,Average
T-Bar Row with Handle,Middle Back,Other,9.5,Average
Palms-down wrist curl over bench,Forearms,Barbell,9.5,Average
Atlas Stones,Lower Back,Other,9.5,Average
Dumbbell front raise to lateral raise,Shoulders,Dumbbell,9.5,Average
Clean from Blocks,Quadriceps,Barbell,9.5,Average
Incline Hammer Curls,Biceps,Dumbbell,9.5,Average
Straight-bar wrist roll-up,Forearms,,9.5,Average
Barbell glute bridge,Glutes,Barbell,9.4,Average
Clean and press,Shoulders,Barbell,9.4,Average
Triceps dip,Triceps,Body Only,9.4,Average
Dumbbell farmer's walk,Forearms,Other,9.4,Average
Palms-up wrist curl over bench,Forearms,Barbell,9.4,Average
Barbell Full Squat,Quadriceps,Barbell,9.4,Average
Barbell deficit deadlift,Lower Back,Barbell,9.4,Average
Barbell Deadlift,Hamstrings,Barbell,9.4,Average
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,9.4,Average
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,9.4,Average
Tire flip,Quadriceps,Other,9.4,Average
Clean Deadlift,Hamstrings,Barbell,9.4,Average
Elbow plank,Abdominals,Body Only,9.3,Average
Bottoms Up,Abdominals,Body Only,9.3,Average
Barbell back squat to box,Quadriceps,Barbell,9.3,Average
Clean and jerk,Shoulders,Barbell,9.3,Average
Single-arm kettlebell push-press,Shoulders,Kettlebells,9.3,Average
Push-press,Quadriceps,Barbell,9.3,Average
Suspended ab fall-out,Abdominals,Other,9.3,Average
Military press,Shoulders,Barbell,9.3,Average
Power snatch-,Quadriceps,Barbell,9.3,Average
Sumo deadlift,Hamstrings,Barbell,9.3,Average
Hang Clean,Quadriceps,Barbell,9.3,Average
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,9.3,Average
Reverse Band Box Squat,Quadriceps,,9.3,Average
Standing palms-in shoulder press,Shoulders,Dumbbell,9.3,Average
Standing cable low-to-high twist,Abdominals,Cable,9.3,Average
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar,9.3,Average
Standing behind-the-back wrist curl,Forearms,Barbell,9.3,Average
Seated finger curl,Forearms,Barbell,9.3,Average
Wide-grip barbell curl,Biceps,Barbell,9.3,Average
Dumbbell spell caster,Abdominals,Dumbbell,9.3,Average
Dumbbell floor press,Triceps,Dumbbell,9.3,Average
Lying Face Down Plate Neck Resistance,Neck,Other,9.3,Average
Pullups,Lats,Body Only,9.2,Average
Decline reverse crunch,Abdominals,Other,9.2,Average
Dumbbell Bench Press,Chest,Dumbbell,9.2,Average
Jumping rope,Quadriceps,Body Only,9.2,Average
Seated barbell shoulder press,Shoulders,Barbell,9.2,Average
EZ-bar spider curl,Biceps,Barbell,9.2,Average
Smith machine shrug,Traps,Machine,9.2,Average
Smith Machine Calf Raise,Calves,Machine,9.2,Average
Romanian Deadlift from Deficit,Hamstrings,Barbell,9.2,Average
Power Snatch,Hamstrings,Barbell,9.2,Average
Pushups,Chest,Body Only,9.2,Average
Barbell walking lunge,Quadriceps,Barbell,9.2,Average
Front Squats With Two Kettlebells,Quadriceps,Kettlebells,9.2,Average
Spider crawl,Abdominals,Body Only,9.2,Average
Power Clean from Blocks,Hamstrings,Barbell,9.2,Average
Single Leg Push-off,Quadriceps,Other,9.2,Average
Hip Circles (Prone),Abductors,,9.2,Average
Reverse-grip bent-over row,Middle Back,Barbell,9.2,Average
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable,9.2,Average
Back extension,Lower Back,Body Only,9.1,Average
Close-grip bench press,Chest,Barbell,9.1,Average
Cocoons,Abdominals,Body Only,9.1,Average
Cross-Body Crunch,Abdominals,Body Only,9.1,Average
Dumbbell Flyes,Chest,Dumbbell,9.1,Average
Hammer Curls,Biceps,Dumbbell,9.1,Average
Incline dumbbell bench press,Chest,Dumbbell,9.1,Average
Low-cable cross-over,Chest,Cable,9.1,Average
Single-arm high-cable side bend,Abdominals,Cable,9.1,Average
Seated Dumbbell Press,Shoulders,Dumbbell,9.1,Average
Standing dumbbell shoulder press,Shoulders,Dumbbell,9.1,Average
Single Leg Push-off,Quadriceps,Other,9.2,Average
Hip Circles (Prone),Abductors,,9.2,Average
Reverse-grip bent-over row,Middle Back,Barbell,9.2,Average
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable,9.2,Average
Back extension,Lower Back,Body Only,9.1,Average
Close-grip bench press,Chest,Barbell,9.1,Average
Cocoons,Abdominals,Body Only,9.1,Average
Cross-Body Crunch,Abdominals,Body Only,9.1,Average
Dumbbell Flyes,Chest,Dumbbell,9.1,Average
Hammer Curls,Biceps,Dumbbell,9.1,Average
Incline dumbbell bench press,Chest,Dumbbell,9.1,Average
Seated Dumbbell Press,Shoulders,Dumbbell,9.1,Average
Standing dumbbell shoulder press,Shoulders,Dumbbell,9.1,Average
EZ-Bar Curl,Biceps,E-Z Curl Bar,9.1,Average
Olympic Squat,Quadriceps,Barbell,9.1,Average
Natural Glute Ham Raise,Hamstrings,Body Only,9.1,Average
Axle Deadlift,Lower Back,Other,9.1,Average
Zottman Curl,Biceps,,9.1,Average
Glute ham raise-,Hamstrings,None,9.1,Average
Single-arm lateral raise,Shoulders,Dumbbell,9.1,Average
Power Partials,Shoulders,Dumbbell,9.1,Average
Leverage Shrug,Traps,Machine,9.1,Average
Cable V-bar push-down,Triceps,Cable,9.1,Average
Wrist Roller,Forearms,Other,9.1,Average
Incline dumbbell reverse fly,Shoulders,Dumbbell,9.1,Average
Stair climber,Quadriceps,Machine,9.1,Average
Elbow-to-knee crunch,Abdominals,Body Only,9.1,Average
Kettlebell Pistol Squat,Quadriceps,Kettlebells,9.1,Average
Overhead dumbbell front raise,Shoulders,Dumbbell,9.1,Average
Biceps curl to shoulder press,Biceps,Dumbbell,9.1,Average
Weighted bench dip,Triceps,Body Only,9.1,Average
Barbell Hip Thrust,Glutes,Barbell,9.1,Average
Forward lunge,Quadriceps,Body Only,9,Average
Barbell Bench Press - Medium Grip,Chest,Barbell,9,Average
Chest dip,Chest,Other,9,Average
Seated dumbbell shoulder press,Shoulders,Dumbbell,9,Average
Barbell Curl,Biceps,Barbell,9,Average
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar,9,Average
One-Arm Dumbbell Row,Middle Back,Dumbbell,9,Average
Alternating standing shoulder press,Shoulders,Dumbbell,9,Average
Concentration curl,Biceps,Dumbbell,9,Average
Decline Crunch,Abdominals,Body Only,9,Average
Decline Dumbbell Flyes,Chest,Dumbbell,9,Average
